0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:50 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:50 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:55:01 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:55:03 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:55:03 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:55:05 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:55:05 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:55:06 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:55:06 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:55:08 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:55:08 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:01:18 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:01:21 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:01:21 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:01:23 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:01:23 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:01:26 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
